ISCO0804,ISCO0804title,software,robots,AI
7541,Underwater divers ,81483,153450,45025
7542,Shotfirers and blasters ,20784,62539,3052
7543,Product graders and testers (excluding foods and beverages) ,407108,417948,80154
7544,Fumigators and other pest and weed controllers ,264571,330414,53396
7549,Craft and related workers not elsewhere classified ,87429,120988,33218
8111,Miners and quarriers ,399745,492132,92700
8112,Mineral and stone processing plant operators ,471041,429619,103929
8113,Well drillers and borers and related workers ,73145,201598,9135
8114,"Cement, stone and other mineral products machine operators ",264751,378749,54801
8121,Metal processing plant operators ,343641,334270,73078
8122,"Metal finishing, plating and coating machine operators ",585676,674977,137656
8131,Chemical products plant and machine operators ,415602,477481,74418
8132,Photographic products machine operators ,698426,651556,148358
8141,Rubber products machine operators ,542545,731742,157655
8142,Plastic products machine operators ,641232,737448,186535
8143,Paper products machine operators ,587512,655991,141224
8151,"Fibre preparing, spinning and winding machine operators ",589231,629824,157519
8152,Weaving and knitting machine operators ,304446,398484,82753
8153,Sewing machine operators ,246659,358041,59437
8154,"Bleaching, dyeing and fabric cleaning machine operators ",291394,360815,82593
8155,Fur and leather preparing machine operators ,333353,477113,112731
8156,Shoemaking and related machine operators ,549981,668708,123480
8157,Laundry machine operators ,147750,201086,35889
8159,"Textile, fur and leather products machine operators not elsewhere classified ",541695,617967,137232
8160,Food and related products machine operators ,334000,337727,70814
8171,Pulp and papermaking plant operators ,381601,390630,60709
8172,Wood processing plant operators ,541412,579764,141484
8181,Glass and ceramics plant operators ,387433,509410,102793
8182,Steam engine and boiler operators ,202168,367572,39083
8183,"Packing, bottling and labelling machine operators ",656304,747477,159693
8211,Mechanical machinery assemblers ,306427,393111,53657
8212,Electrical and electronic equipment assemblers ,364064,440068,66021
8219,Assemblers not elsewhere classified ,217638,274492,35863
8311,Locomotive engine drivers ,163333,249938,36141
8312,"Railway brake, signal and switch operators ",115048,195868,18557
8321,Motorcycle drivers ,10270,33774,2768
8322,"Car, taxi and van drivers ",84115,135489,15692
8331,Bus and tram drivers ,106008,199411,20146
8332,Heavy truck and lorry drivers ,60407,166469,18505
8341,Mobile farm and forestry plant operators ,97341,195455,26180
8342,Earthmoving and related plant operators ,523869,726669,125667
8343,"Crane, hoist and related plant operators ",443722,653878,95467
8344,Lifting truck operators ,193356,415225,38186
8350,Ships' deck crews and related workers ,5142,23865,920
9111,Domestic cleaners and helpers ,6109,24062,1299
9112,"Cleaners and helpers in offices, hotels and other establishments ",11052,46855,1932
9121,Hand launderers and pressers ,67176,128541,11284
9122,Vehicle cleaners ,26021,112298,10237
9123,Window cleaners ,86923,118262,26233
9129,Other cleaning workers ,211318,304211,72919
9211,Crop farm labourers ,12146,28140,3424
9212,Livestock farm labourers ,16676,33475,5039
9213,Mixed crop and livestock farm labourers ,19203,41853,6391
9214,Garden and horticultural labourers ,17027,39201,3370
9215,Forestry labourers ,3467,10567,987
9216,Fishery and aquaculture labourers ,15695,39692,7675
9311,Mining and quarrying labourers ,33306,91669,7762
9312,Civil engineering labourers ,22051,91615,8358
9313,Building construction labourers ,15547,78976,3738
9321,Hand packers ,42861,89297,15071
9329,Manufacturing labourers not elsewhere classified ,42887,163087,7635
9331,Hand and pedal vehicle drivers ,68003,166982,12387
9332,Drivers of animal-drawn vehicles and machinery ,112357,169170,31014
9333,Freight handlers ,138355,197443,21783
9334,Shelf fillers ,66240,91778,10763
9411,Fast food preparers ,82306,79121,25783
9412,Kitchen helpers ,9044,28050,2006
9510,Street and related services workers ,12990,27774,2597
9520,Street vendors (excluding food) ,91004,91523,17004
9611,Garbage and recycling collectors ,58252,183360,27463
9612,Refuse sorters ,185304,280333,59958
9613,Sweepers and related labourers ,2212,22448,968
9621,"Messengers, package deliverers and luggage porters ",49819,44040,6746
9622,Odd-job persons ,13238,61489,3650
9623,Meter readers and vending-machine collectors ,319403,435439,61434
9624,Water and firewood collectors ,7788,14011,2903
9629,Elementary workers not elsewhere classified ,164294,142777,28891
